Surname,Forename,Middle Names,Title,Known As,Fee Status,Student Username,Ucard No,Email,Reg. Status,Programme,Period,Module Code,1st Grade,2nd Grade,3rd Grade,4th Grade,NFC_Flag,HEFCE_Flag,Live Registration,Attending,Date of Birth,Personal Tutor,Supervisors
Dyer,John,,Mrs,Deborah,Home,ACD21JD,666637852,kerryrobinson@example.net,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2003-07-07,Jayne Morris,
Davies,Ashleigh,O'Neill,Ms,Abigail,Overseas,ACW21AD,334989959,rachel30@example.net,Fully Registered,COMU101,B,COM1002,-,-,-,-,-,Yes,Y,Y,2008-03-27,Sally Duffy,
Harrison,Jeffrey,,Mrs,Owen,Overseas,ACC19JH,687729897,jane82@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2002-11-07,Jayne Griffiths,
O'Neill,Raymond,Hewitt Cole,Mrs,Tracey,Home,ACZ22RO,912334184,eleanor90@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1994-05-04,Hannah Parsons,
Cooper,Harriet,Baker Owen,Miss,Shannon,Home,ACA20HC,371338617,oliver88@example.com,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2003-10-12,Mr Francis Mitchell,
Chapman,Nicholas,Browne,Mr,Stacey,Overseas,ACV21NC,211830967,kingbernard@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-05-11,Dr Mohammed Austin,
Howells,Cheryl,,Mx,Mohammed,Home,ACG19CH,955162716,fhancock@example.com,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2000-11-18,Edward Nash-Grant,
Knight,Mathew,Porter Wells,Miss,Diana,Home,ACA19MK,190115500,leslie89@example.org,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-07-23,Alison Smith-Wilson,
Hicks,Charlie,,Ms,Kayleigh,Home,ACK21CH,274017458,mandywilson@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-04-28,Hannah Woodward,
Wilson,Craig,Morris Morgan,Miss,Norman,Home,ACO19CW,553087747,gregoryellie@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-09-23,Teresa Turner,
Simmons,Lucy,Murphy Smart,Miss,Garry,Overseas,ACJ19LS,104821126,probinson@example.com,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2000-08-10,Antony Leonard,
Hunter,Geoffrey,Chandler,Mrs,Chelsea,Home,ACH20GH,892030142,barneselaine@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-11-05,Ms Patricia Atkinson,
Hooper,Shannon,King Freeman,Mr,Aimee,Home,ACQ19SH,205712650,jennifertownsend@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-11-18,Denise Reeves,
Brown,Mitchell,Bailey,Ms,Brenda,Home,ACH22MB,229292100,ksmith@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-05-14,Mrs Heather Coleman,
Duncan,Marian,Jenkins,Miss,Trevor,Overseas,ACT20MD,180406465,jasonstephenson@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2001-09-08,Megan West-Jones,
Ingram,Aimee,,Mr,Adam,Overseas,ACJ22AI,427378078,clairewarner@example.com,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1999-06-24,Patricia Booth,
Williams,Marian,Mills,Miss,Ruth,Overseas,ACR22MW,932851100,glenjohnson@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1994-11-29,Eileen Murray-Jones,
Whitehead,Carol,Curtis Owens,Miss,Margaret,Overseas,ACJ21CW,804067809,westmax@example.com,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-07-02,Dr Lisa Herbert,
Taylor,Rhys,Roberts Fisher,Mr,Sheila,Overseas,ACS20RT,251210475,chapmanglen@example.org,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-01-19,Katie Holmes,
Oliver,Deborah,,Mrs,Elliott,Home,ACJ20DO,167924690,hammondshaun@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-04-07,Joyce Bryant,
Lucas,Connor,Day,Ms,Brett,Home,ACB20CL,681250770,andrew83@example.net,Fully Registered,COMU101,B,COM1002,-,-,-,-,-,Yes,Y,Y,2001-05-26,Miss Molly Hill,
James,Danny,Patel Hyde,Ms,Julie,Overseas,ACO21DJ,477791795,harrisonandrea@example.org,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-02-20,Kimberley Davidson,
Hunt,Shannon,Simmons,Miss,Duncan,Home,ACP20SH,544456575,deborahclements@example.net,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-10-11,Mr Edward Jones,
Taylor,Mohamed,Elliott Bailey,Ms,Andrew,Overseas,ACP19MT,668011882,gwatts@example.com,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-05-14,Danny Atkins,
Whittaker,Kate,Hussain Green,Mx,Brian,Overseas,ACO20KW,953233654,xhutchinson@example.com,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-09-20,Roger Martin-Hunt,
Williams,Barry,Booth,Miss,Mohammad,Home,ACB22BW,946770583,lorraineandrews@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,2008-03-21,Sophie Hayes,
Burton,Leslie,Holloway Jones,Ms,Mathew,Overseas,ACS22LB,521886698,hartleymarilyn@example.net,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-10-27,Christian Martin,
Marshall,Aaron,,Mx,Naomi,Overseas,ACY21AM,688816053,johnsonashley@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1994-09-12,Leanne Short,
Davies,Kevin,Pearson Mills,Miss,Timothy,Overseas,ACR21KD,621395377,phillip97@example.org,Fully Registered,COMU101,B,COM1002,-,-,-,-,-,Yes,Y,Y,1993-04-20,Mrs Hazel Woodward,
Brown,Henry,,Ms,Jenna,Home,ACF19HB,170445698,dyates@example.net,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2002-07-10,Miss Jodie Stevens,
Harrison,Toby,Holloway Newton,Mrs,Linda,Home,ACR20TH,561908334,aimee93@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1993-12-06,Dale Burke,
Holt,Wayne,Williams Russell,Mrs,Clifford,Home,ACT21WH,778698183,nigeljones@example.org,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-08-20,Christian Harrison-Gallagher,
Taylor,Martin,Johnston Dean,Mr,Leonard,Overseas,ACH20MT,588608439,evanssimon@example.com,Fully Registered,COMU43,B,COM1002,-,-,-,-,-,Yes,Y,Y,1997-03-07,Harriet Foster,
Davis,Arthur,,Ms,Ashleigh,Home,ACW19AD,858455639,reessharon@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-02-22,Laura West,
Roberts,Gregory,,Miss,Connor,Overseas,ACZ20GR,421019363,daviesabigail@example.org,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,1993-04-05,Tom Jones,
Buckley,Paul,,Mr,Mary,Overseas,ACU22PB,834069712,jkay@example.org,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-02-17,Bethany Mistry,
Spencer,Catherine,Marshall Johnson,Mx,Nicola,Overseas,ACA19CS,224777620,harveyraymond@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-10-21,Lynn Page,
Hill,Harry,Griffin Mann,Miss,Francesca,Overseas,ACQ21HH,224502267,kimwalsh@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2006-07-22,Mr Mitchell Price,
Ryan,Joseph,King Smith,Mrs,Joshua,Overseas,ACW19JR,163075345,janice98@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2000-08-07,Mr Gregory Cole,
Humphreys,Damien,,Mx,Jake,Home,ACK22DH,909702662,dharris@example.org,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2004-06-10,Nathan Stone,
Naylor,Cameron,Hughes,Mr,Paul,Home,ACJ21CN,900455983,wallacenathan@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1995-06-08,Rebecca Bryant-Gilbert,
Scott,Linda,Sanders,Miss,Roger,Home,ACB21LS,673705159,anna98@example.net,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2007-01-14,Stanley Armstrong-Cooper,
Lewis,Maureen,,Mrs,Katy,Overseas,ACP21ML,303716585,lali@example.net,Fully Registered,COMU05,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-08-14,Bethan Thomson,
Parker,Carole,,Mx,Arthur,Home,ACF22CP,605269818,mohammed20@example.net,Fully Registered,COMU101,B,COM1002,-,-,-,-,-,Yes,Y,Y,2001-11-19,Edward Matthews,
Anderson,Raymond,George,Ms,Malcolm,Home,ACY20RA,927245476,matthewlittle@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,2002-12-31,Kevin Davies,
Wilson,Ryan,Harrison,Miss,Jordan,Overseas,ACL21RW,590883062,laura76@example.net,Fully Registered,COMU06,B,COM1002,-,-,-,-,-,Yes,Y,Y,1998-09-01,Paula Davies,
Taylor,Terence,Parsons,Miss,Ashleigh,Home,ACK21TT,257344257,jordan73@example.net,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,2007-05-09,Alexander Kay,
Robertson,Nigel,Davies,Mx,Dorothy,Overseas,ACF19NR,498679185,simpsonmichelle@example.net,Fully Registered,COMU39,B,COM1002,-,-,-,-,-,Yes,Y,Y,2005-06-21,David Wilson-Smith,
Carr,Michelle,Norman,Mx,Annette,Overseas,ACO19MC,156067707,samanthagriffin@example.com,Fully Registered,COMU117,B,COM1002,-,-,-,-,-,Yes,Y,Y,1993-10-03,Susan Evans,
