Surname,Forename,Middle Names,Title,Known As,Fee Status,Student Username,Ucard No,Email,Reg. Status,Programme,Period,Module Code,1st Grade,2nd Grade,3rd Grade,4th Grade,NFC_Flag,HEFCE_Flag,Live Registration,Attending,Date of Birth,Personal Tutor,Supervisors
Willis,Adam,,Mr,Adam,Home,ACC22AW,001787692,awillis4@sheffield.ac.uk,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-08-25,Emma Norling
Bala,Jakub,,Dr,Jakub,Overseas,ACK21JV,1234,jbala1@sheffield.ac.uk,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-08-25,Emma Norling
Henson,Josh,,Mrs,Josh,Home,ACA21JLH,1235,jhenson2@sheffield.ac.uk,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-08-25,Emma Norling
Salkeld,Matty,,Mr,Matty,Overseas,ELB90MS,1236,msalkeld1@sheffield.ac.uk,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-08-25,Emma Norling
Jennings,Russell,,Mr,George,Home,ACS19RJ,154041347,rhyscoleman@example.net,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-03-21,Miss Aimee White,
Cole,Sharon,Brookes Owens,Miss,Caroline,Home,ACS21SC,298898038,marcus64@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1999-01-03,Francesca Hayes,
Steele,Kieran,Flynn West,Miss,Diana,Home,ACF20KS,144023092,jasmine20@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2000-02-25,Diane Jones,
Wilkinson,Alexander,Hobbs,Ms,Philip,Home,ACQ20AW,740458880,kylegray@example.com,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-02-19,Dr Stewart Davidson,
Armstrong,Lydia,Evans Nelson,Ms,Sally,Home,ACO20LA,749958747,raymondmoore@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1999-04-30,Mitchell Parsons,
Brown,Gregory,,Mrs,Lydia,Overseas,ACP20GB,986852727,victoria91@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2007-12-30,Mr Thomas Scott,
Greenwood,Vincent,Hall,Mr,Nathan,Overseas,ACQ20VG,760562479,joan44@example.com,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1997-02-06,Elaine Slater,
Taylor,Paula,Singh,Mrs,Philip,Overseas,ACX20PT,520407930,yatesjune@example.org,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-09-30,Marion Brooks,
Wilson,Leslie,Williams,Mrs,Donna,Overseas,ACZ21LW,771239038,dobsonellie@example.net,Fully Registered,COMU06,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-06-05,Helen Hewitt,
Williams,Stephen,Miller West,Mr,Linda,Home,ACG20SW,446006031,georgia40@example.org,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,2004-03-02,Richard Watson,
Marshall,Christian,Andrews,Mx,Melanie,Overseas,ACN22CM,814540855,kimberleywilson@example.net,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-12-01,Frances Simpson,
Howells,Declan,,Mrs,Guy,Home,ACC21DH,146492069,chapmanlynne@example.com,Fully Registered,COMU43,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-05-18,Charlene Jones,
King,Joanna,Ingram Robertson,Mx,Diane,Overseas,ACC19JK,500915169,jonesruth@example.net,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1995-01-28,Keith Watkins,
Armstrong,Hugh,Stone,Mrs,Carly,Overseas,ACN22HA,236120647,dawn01@example.org,Fully Registered,COMU117,B,COM3420,-,-,-,-,-,Yes,Y,Y,1999-06-20,Scott Rahman,
Hale,Olivia,,Miss,Rebecca,Overseas,ACD20OH,842001348,vjohn@example.net,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,2005-02-27,Toby Higgins,
Shah,Gerard,Ferguson Bell,Mx,Marion,Home,ACA20GS,992657297,marcus53@example.com,Fully Registered,COMU101,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-03-18,Mr William McCarthy,
Pearce,Natasha,Hart Harrison,Mrs,Rachel,Home,ACV19NP,536495474,natalie73@example.net,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,1994-07-29,Mr Bryan Wilson,
Watson,Katy,,Mx,Kerry,Overseas,ACH20KW,589949415,gloverbethan@example.net,Fully Registered,COMU05,B,COM3420,-,-,-,-,-,Yes,Y,Y,1996-10-29,Mr Hugh Ryan,
Jones,Andrew,Hall,Mr,Tina,Home,ACD21AJ,117913668,russell42@example.net,Fully Registered,COMU39,B,COM3420,-,-,-,-,-,Yes,Y,Y,1993-06-29,Mr Daniel White,
